Matrícula;Data Afastamento;Data Retorno;Motivo
3478;07/05/1990;21/05/1990;Férias
3497;15/09/2010;;Demissão
3497;11/01/2010;20/01/2010;Férias
3497;22/12/2008;02/01/2009;Férias
3497;04/02/2008;24/02/2008;Férias
3497;05/02/2007;25/02/2007;Férias
3497;07/02/2006;26/02/2006;Férias
3497;04/04/2005;24/04/2005;Férias
3497;09/02/2004;29/02/2004;Férias
3497;05/05/2003;25/05/2003;Férias
3497;06/05/2002;26/05/2002;Férias
3497;13/08/2001;02/09/2001;Férias
3497;02/01/2001;22/01/2001;Férias
3497;29/11/1999;19/12/1999;Férias
3612;19/04/2002;;Demissão
3612;17/12/2001;14/01/2002;Férias
3612;04/06/2001;18/06/2001;Férias
3612;26/12/2000;08/01/2001;Férias
3612;31/07/2000;20/08/2000;Férias
3612;27/12/1999;08/01/2000;Férias
3612;02/02/1998;15/02/1998;Férias
3612;23/12/1997;12/01/1998;Férias
3612;03/02/1997;07/03/1997;Férias
3612;26/02/1996;28/03/1996;Férias
3612;06/02/1995;10/03/1995;Férias
3612;22/11/1993;12/12/1993;Férias
3612;19/10/1992;08/11/1992;Férias
3612;13/04/1992;04/05/1992;Férias
3665;25/06/2012;;Demissão
3665;04/07/2011;19/07/2011;Férias
3665;03/01/2011;18/01/2011;Férias
3665;12/07/2010;25/07/2010;Férias
3665;22/12/2008;01/01/2009;Férias
3665;27/10/2008;16/11/2008;Férias
3665;19/11/2007;09/12/2007;Férias
3665;06/11/2006;26/11/2006;Férias
3665;02/05/2006;17/05/2006;Férias
3665;07/11/2005;22/11/2005;Férias
3665;16/05/2005;05/06/2005;Férias
3665;01/03/2004;21/03/2004;Férias
3665;10/03/2003;30/03/2003;Férias
3665;28/01/2002;27/02/2002;Férias
3665;29/01/2001;28/02/2001;Férias
3665;20/09/1999;20/10/1999;Férias
3665;13/10/1998;12/11/1998;Férias
3665;22/09/1997;22/10/1997;Férias
3665;31/03/1997;30/04/1997;Férias
3665;04/12/1995;13/01/1996;Férias
3665;06/02/1995;26/02/1995;Férias
3665;25/10/1993;15/11/1993;Férias
3665;28/09/1992;18/10/1992;Férias
4569;14/06/2005;;Demissão
4569;12/04/2004;02/05/2004;Férias
4569;07/07/2003;27/07/2003;Férias
4569;15/04/2002;05/05/2002;Férias
4569;14/05/2001;03/06/2001;Férias
4569;23/10/2000;22/11/2000;Férias
4569;08/09/1999;28/09/1999;Férias
4749;02/02/2009;;Demissão
4749;02/01/2009;22/01/2009;Férias
4749;15/10/2007;04/11/2007;Férias
4749;11/12/2006;31/12/2006;Férias
4749;17/07/2006;06/08/2006;Férias
4749;18/07/2005;17/08/2005;Férias
4749;26/07/2004;15/08/2004;Férias
4749;30/06/2003;20/07/2003;Férias
4749;05/08/2002;17/08/2002;Férias
4749;17/12/2001;07/01/2002;Férias
4749;25/06/2001;15/07/2001;Férias
4749;31/07/2000;30/08/2000;Férias
4749;20/12/1999;12/01/2000;Férias
4783;01/10/2015;;Demissão
4783;17/08/2015;06/09/2015;Férias
4783;07/07/2014;06/08/2014;Férias
4783;08/07/2013;07/08/2013;Férias
4783;09/07/2012;08/08/2012;Férias
4783;27/06/2011;17/07/2011;Férias
4783;05/07/2010;04/08/2010;Férias
4783;16/03/2009;05/04/2009;Férias
4783;22/12/2008;01/01/2009;Férias
4783;30/06/2008;20/07/2008;Férias
4783;02/07/2007;01/08/2007;Férias
4783;03/04/2006;23/04/2006;Férias
4783;25/04/2005;15/05/2005;Férias
4783;07/06/2004;20/06/2004;Férias
4783;19/04/2004;29/04/2004;Férias
4783;10/03/2003;30/03/2003;Férias
4783;06/05/2002;23/05/2002;Férias
4783;17/12/2001;31/12/2001;Férias
4783;12/02/2001;23/02/2001;Férias
4783;26/12/2000;15/01/2001;Férias
4783;20/12/1999;22/01/2000;Férias
4783;15/03/1999;01/04/1999;Férias
4783;28/12/1998;11/01/1999;Férias
4783;16/03/1998;15/04/1998;Férias
4783;19/05/1997;09/06/1997;Férias
4783;06/05/1996;26/05/1996;Férias
4928;03/03/2017;;Demissão
4928;19/12/2016;18/01/2017;Férias
4928;02/05/2016;01/06/2016;Férias
4928;06/11/2015;31/03/2016;Auxilio Doença
4928;18/02/2015;01/03/2015;Férias
4928;16/06/2014;05/07/2014;Férias
4928;11/06/2014;14/06/2014;Férias
4928;23/12/2013;07/01/2014;Férias
4928;12/08/2013;24/08/2013;Férias
4928;20/02/2013;07/03/2013;Férias
4928;20/08/2012;01/10/2012;Auxilio Doença
4928;19/03/2012;29/03/2012;Férias
4928;19/09/2011;09/10/2011;Férias
4928;17/01/2011;06/02/2011;Férias
4928;14/09/2009;04/10/2009;Férias
4928;08/12/2008;28/12/2008;Férias
4928;11/02/2008;23/02/2008;Férias
4928;26/12/2006;07/01/2007;Férias
4928;18/09/2006;08/10/2006;Férias
4928;28/11/2005;18/12/2005;Férias
4928;13/03/2005;30/04/2005;Auxilio Doença
4928;16/11/2004;16/12/2004;Férias
4928;08/12/2003;29/12/2003;Férias
4928;10/02/2003;02/03/2003;Férias
4928;29/07/2002;08/08/2002;Férias
4928;01/10/2001;31/10/2001;Férias
4928;26/12/2000;15/01/2001;Férias
4928;28/12/1999;08/01/2000;Férias
4928;20/12/1999;28/12/1999;Férias
4928;28/12/1998;11/01/1999;Férias
4928;16/11/1998;07/12/1998;Férias
4928;11/05/1998;23/05/1998;Férias
4928;22/12/1997;12/01/1998;Férias
4928;04/08/1997;03/09/1997;Férias
4928;29/01/1996;01/03/1996;Férias
5066;21/08/2000;;Demissão
5066;02/05/2000;22/05/2000;Férias
5066;10/05/1999;30/05/1999;Férias
5066;05/02/1996;27/02/1996;Férias
5066;16/03/1995;05/04/1995;Férias
5066;17/02/1994;09/03/1994;Férias
5189;11/07/2008;;Demissão
5189;16/07/2007;15/08/2007;Férias
5189;03/07/2006;23/07/2006;Férias
5189;27/03/2006;16/04/2006;Férias
5189;21/02/2005;13/03/2005;Férias
5189;02/06/2003;02/07/2003;Férias
5189;16/12/2002;08/01/2003;Férias
5189;26/12/2001;26/01/2002;Férias
5189;19/03/2001;18/04/2001;Férias
5189;27/03/2000;16/04/2000;Férias
5189;08/03/1999;07/04/1999;Férias
5189;03/11/1997;23/11/1997;Férias
5189;16/09/1996;16/10/1996;Férias
5189;11/09/1995;11/10/1995;Férias
5189;19/12/1994;17/01/1995;Férias
5306;24/06/2019;09/07/2019;Férias
5306;17/12/2018;16/01/2019;Férias
5306;18/12/2017;17/01/2018;Férias
5306;24/04/2017;24/05/2017;Férias
5306;21/12/2015;04/01/2016;Férias
5306;15/06/2015;01/07/2015;Férias
5306;22/12/2014;11/01/2015;Férias
5306;23/12/2013;12/01/2014;Férias
5306;08/04/2013;28/04/2013;Férias
5306;30/04/2012;20/05/2012;Férias
5306;07/03/2011;27/03/2011;Férias
5306;18/02/2010;20/03/2010;Férias
5306;23/03/2009;12/04/2009;Férias
5306;22/12/2008;01/01/2009;Férias
5306;12/05/2008;01/06/2008;Férias
5306;26/12/2007;05/01/2008;Férias
5306;21/05/2007;31/05/2007;Férias
5306;05/02/2007;18/02/2007;Férias
5306;15/09/2006;09/10/2006;Auxilio Doença
5306;23/01/2006;07/02/2006;Férias
5306;31/10/2005;15/11/2005;Férias
5306;14/02/2005;06/03/2005;Férias
5306;15/12/2003;07/01/2004;Férias
5306;23/12/2002;15/01/2003;Férias
5306;20/08/2001;31/08/2001;Férias
5306;26/12/2000;15/01/2001;Férias
5306;31/07/2000;20/08/2000;Férias
5306;06/12/1999;08/01/2000;Férias
5306;18/02/1999;28/02/1999;Férias
5306;21/12/1998;04/01/1999;Férias
5306;16/03/1998;15/04/1998;Férias
5306;12/05/1997;02/06/1997;Férias
5306;08/01/1996;28/01/1996;Férias
5306;02/05/1995;22/05/1995;Férias
5306;04/07/1994;23/08/1994;Seguro Acidente de Trabalho
5668;13/09/2004;;Demissão
5668;22/12/2003;14/01/2004;Férias
5668;23/12/2002;15/01/2003;Férias
5668;26/12/2001;26/01/2002;Férias
5668;18/12/2000;19/01/2001;Férias
5668;06/12/1999;08/01/2000;Férias
5783;30/04/2004;;Demissão
5783;30/06/2003;20/07/2003;Férias
5783;05/08/2002;25/08/2002;Férias
5783;18/03/2002;23/03/2002;Férias
5783;17/12/2001;14/01/2002;Férias
5783;12/02/2001;07/03/2001;Férias
5783;26/12/2000;03/01/2001;Férias
5783;09/10/2000;29/10/2000;Férias
5785;02/04/2012;;Demissão
5785;12/09/2011;12/10/2011;Férias
5785;16/03/2011;12/09/2011;Licença Maternidade
5785;16/11/2010;16/12/2010;Férias
5785;09/11/2009;28/11/2009;Férias
5785;22/12/2008;02/01/2009;Férias
5785;06/10/2008;05/11/2008;Férias
5785;14/01/2008;13/02/2008;Férias
5785;05/03/2007;25/03/2007;Férias
5785;07/02/2006;09/03/2006;Férias
5785;14/12/2004;16/01/2005;Férias
5785;01/09/2003;21/09/2003;Férias
5785;23/12/2002;25/01/2003;Férias
5785;04/03/2002;03/04/2002;Férias
5785;05/03/2001;04/04/2001;Férias
5785;12/06/2000;02/07/2000;Férias
5785;27/12/1999;08/01/2000;Férias
5785;12/07/1999;11/08/1999;Férias
5791;25/02/1999;;Demissão
5792;01/09/2010;;Demissão
5792;04/01/2010;24/01/2010;Férias
5792;02/02/2009;21/02/2009;Férias
5792;22/12/2008;02/01/2009;Férias
5792;28/06/2007;18/07/2007;Férias
5792;18/09/2006;08/10/2006;Férias
5792;16/01/2006;05/02/2006;Férias
5792;17/05/2004;06/06/2004;Férias
5792;30/06/2003;20/07/2003;Férias
5792;11/03/2002;31/03/2002;Férias
5792;11/02/2002;16/02/2002;Férias
5792;17/12/2001;14/01/2002;Férias
5792;05/06/2000;25/06/2000;Férias
5792;20/12/1999;12/01/2000;Férias
5792;18/02/1999;10/03/1999;Férias
5794;11/06/2001;;Demissão
5794;19/02/2001;11/03/2001;Férias
5794;07/08/2000;27/08/2000;Férias
5809;18/03/2005;;Demissão
5809;14/12/2004;16/01/2005;Férias
5809;29/12/2003;19/01/2004;Férias
5809;24/02/2003;15/03/2003;Férias
5809;23/12/2002;06/01/2003;Férias
5809;06/05/2002;18/05/2002;Férias
5809;17/12/2001;07/01/2002;Férias
5809;16/10/2000;05/11/2000;Férias
5809;27/12/1999;17/01/2000;Férias
5809;08/02/1999;02/03/1999;Férias
5811;26/01/1999;;Demissão
5844;11/02/2000;;Demissão
5844;03/01/2000;23/01/2000;Férias
5844;25/01/1999;14/02/1999;Férias
5845;13/04/2007;;Demissão
5845;20/12/2006;09/01/2007;Férias
5845;27/03/2006;16/04/2006;Férias
5845;21/03/2005;10/04/2005;Férias
5845;22/12/2003;14/01/2004;Férias
5845;31/03/2003;13/04/2003;Férias
5845;23/12/2002;06/01/2003;Férias
5845;01/04/2002;06/04/2002;Férias
5845;17/12/2001;14/01/2002;Férias
5845;02/04/2001;22/04/2001;Férias
5845;02/05/2000;22/05/2000;Férias
5845;12/07/1999;01/08/1999;Férias
5848;20/07/2001;;Demissão
5848;08/01/2001;28/01/2001;Férias
5848;28/02/2000;19/03/2000;Férias
5848;22/02/1999;14/03/1999;Férias
5854;25/06/1999;;Demissão
5854;15/03/1999;04/04/1999;Férias
5855;20/06/2001;;Demissão
5855;04/09/2000;24/09/2000;Férias
5855;08/03/1999;21/03/1999;Férias
5856;14/12/2007;;Demissão
5856;22/10/2007;11/11/2007;Férias
5856;06/11/2006;26/11/2006;Férias
5856;07/11/2005;07/12/2005;Férias
5856;11/10/2004;31/10/2004;Férias
5856;07/04/2003;27/04/2003;Férias
5856;23/12/2002;15/01/2003;Férias
5856;17/12/2001;19/01/2002;Férias
5856;26/12/2000;16/01/2001;Férias
5856;08/11/1999;28/11/1999;Férias
5856;01/02/1999;23/02/1999;Férias
5860;26/04/1999;;Demissão
5865;07/04/1999;;Demissão
5865;15/03/1999;04/04/1999;Férias
5865;24/04/1994;31/05/1994;Seguro Acidente de Trabalho
5873;01/03/2000;;Demissão
5873;27/12/1999;08/01/2000;Férias
5873;22/11/1999;22/12/1999;Férias
5873;01/03/1999;21/03/1999;Férias
5874;02/02/2000;;Demissão
5874;27/12/1999;08/01/2000;Férias
5874;31/05/1999;20/06/1999;Férias
5881;15/12/2000;;Demissão
5881;16/10/2000;05/11/2000;Férias
5881;26/04/1999;16/05/1999;Férias
5965;08/10/1999;;Demissão
5965;26/04/1999;08/05/1999;Férias
5969;18/10/2013;;Demissão
5969;01/07/2013;21/07/2013;Férias
5969;05/11/2012;25/11/2012;Férias
5969;10/10/2011;30/10/2011;Férias
5969;14/12/2010;03/01/2011;Férias
5969;28/12/2009;17/01/2010;Férias
5969;05/01/2009;25/01/2009;Férias
5969;07/01/2008;27/01/2008;Férias
5969;02/01/2007;22/01/2007;Férias
5969;02/01/2006;22/01/2006;Férias
5969;03/01/2005;23/01/2005;Férias
5969;05/04/2004;25/04/2004;Férias
5969;03/02/2003;16/02/2003;Férias
5969;23/12/2002;06/01/2003;Férias
5969;13/05/2002;26/05/2002;Férias
5969;17/12/2001;28/12/2001;Férias
5969;07/05/2001;27/05/2001;Férias
5969;17/04/2000;07/05/2000;Férias
5969;26/04/1999;16/05/1999;Férias
5994;10/09/2001;;Demissão
5994;12/03/2001;01/04/2001;Férias
5994;02/05/2000;01/06/2000;Férias
5994;03/05/1999;23/05/1999;Férias
5996;18/05/2000;;Demissão
5996;27/12/1999;08/01/2000;Férias
5996;24/05/1999;03/06/1999;Férias
6013;13/09/2004;;Demissão
6013;25/08/2003;14/09/2003;Férias
6013;21/10/2002;10/11/2002;Férias
6013;03/06/2002;08/06/2002;Férias
6013;17/12/2001;14/01/2002;Férias
6013;07/05/2001;27/05/2001;Férias
6013;16/08/1999;05/09/1999;Férias
6013;24/05/1999;13/06/1999;Férias
6015;04/12/2006;;Demissão
6015;28/08/2006;17/09/2006;Férias
6015;13/02/2006;05/03/2006;Férias
6015;14/12/2004;06/01/2005;Férias
6015;09/02/2004;29/02/2004;Férias
6015;30/06/2003;20/07/2003;Férias
6015;03/06/2002;08/06/2002;Férias
6015;17/12/2001;14/01/2002;Férias
6015;14/08/2000;03/09/2000;Férias
6015;13/10/1999;02/11/1999;Férias
6015;31/05/1999;20/06/1999;Férias
6038;18/07/2012;;Demissão
6038;09/01/2012;29/01/2012;Férias
6038;03/01/2011;02/02/2011;Férias
6038;24/05/2010;13/06/2010;Férias
6038;22/12/2009;01/01/2010;Férias
6038;11/05/2009;10/06/2009;Férias
6038;19/05/2008;08/06/2008;Férias
6038;14/05/2007;13/06/2007;Férias
6038;30/01/2006;01/03/2006;Férias
6038;17/01/2005;06/02/2005;Férias
6038;07/06/2004;07/07/2004;Férias
6038;10/03/2003;09/04/2003;Férias
6038;15/04/2002;15/05/2002;Férias
6038;14/05/2001;03/06/2001;Férias
6038;02/05/2000;01/06/2000;Férias
6038;10/05/1999;10/06/1999;Férias
6038;02/02/1998;22/02/1998;Férias
6038;22/12/1997;04/01/1998;Férias
6038;13/01/1997;02/02/1997;Férias
6038;08/01/1996;18/01/1996;Férias
6038;10/07/1995;30/07/1995;Férias
6047;25/02/1999;;Demissão
6050;10/09/2014;;Demissão
6050;05/08/2014;02/09/2014;Auxilio Doença
6050;23/12/2013;04/01/2014;Férias
6050;01/07/2013;21/07/2013;Férias
6050;02/07/2012;22/07/2012;Férias
6050;04/07/2011;24/07/2011;Férias
6050;28/06/2010;18/07/2010;Férias
6050;13/07/2009;02/08/2009;Férias
6050;04/02/2008;24/02/2008;Férias
6050;02/07/2007;22/07/2007;Férias
6050;03/07/2006;23/07/2006;Férias
6050;05/10/2005;24/01/2006;Auxilio Doença
6050;18/04/2005;18/05/2005;Férias
6050;22/12/2003;14/01/2004;Férias
6050;30/06/2003;13/07/2003;Férias
6050;23/12/2002;06/01/2003;Férias
6050;03/06/2002;08/06/2002;Férias
6050;17/12/2001;14/01/2002;Férias
6050;25/06/2001;15/07/2001;Férias
6050;26/02/2001;08/03/2001;Férias
6050;26/12/2000;08/01/2001;Férias
6050;13/03/2000;26/03/2000;Férias
6050;27/12/1999;08/01/2000;Férias
6050;03/05/1999;23/05/1999;Férias
6051;05/07/2010;;Demissão
6051;17/05/2010;16/06/2010;Férias
6051;02/02/2009;21/02/2009;Férias
6051;22/12/2008;02/01/2009;Férias
6051;12/05/2008;11/06/2008;Férias
6051;14/05/2007;03/06/2007;Férias
6051;06/03/2006;26/03/2006;Férias
6051;13/06/2005;03/07/2005;Férias
6051;14/06/2004;14/07/2004;Férias
6051;06/01/2003;19/01/2003;Férias
6051;23/12/2002;06/01/2003;Férias
6051;10/06/2002;30/06/2002;Férias
6051;07/05/2001;23/05/2001;Férias
6051;19/06/2000;05/07/2000;Férias
6051;27/12/1999;12/01/2000;Férias
6051;05/04/1999;25/04/1999;Férias
6054;01/03/1999;;Demissão
6057;30/06/1994;;Demissão
6058;01/03/2001;;Demissão
6058;14/08/2000;03/09/2000;Férias
6058;04/10/1999;24/10/1999;Férias
6069;16/04/2001;;Demissão
6069;12/02/2001;04/03/2001;Férias
6069;31/01/2000;20/02/2000;Férias
6069;07/06/1999;27/06/1999;Férias
6080;03/11/2008;;Demissão
6080;01/09/2008;21/09/2008;Férias
6080;03/12/2007;23/12/2007;Férias
6080;16/10/2006;05/11/2006;Férias
6080;12/12/2005;01/01/2006;Férias
6080;11/10/2004;31/10/2004;Férias
6080;01/09/2003;21/09/2003;Férias
6080;16/09/2002;06/10/2002;Férias
6080;10/09/2001;30/09/2001;Férias
6080;05/02/2001;25/02/2001;Férias
6080;05/06/2000;25/06/2000;Férias
6080;28/06/1999;18/07/1999;Férias
6085;07/06/2000;;Demissão
6085;27/12/1999;14/01/2000;Férias
6090;19/08/2002;;Demissão
6090;04/02/2002;12/02/2002;Férias
6090;17/12/2001;07/01/2002;Férias
6090;12/02/2001;04/03/2001;Férias
6090;09/10/2000;29/10/2000;Férias
6090;18/10/1999;07/11/1999;Férias
6091;01/03/2001;;Demissão
6091;10/07/2000;30/07/2000;Férias
6102;25/02/1999;;Demissão
6146;22/03/2000;;Demissão
6146;27/12/1999;12/01/2000;Férias
6146;19/07/1999;08/08/1999;Férias
6147;08/06/2001;;Demissão
6147;26/12/2000;03/01/2001;Férias
6147;11/09/2000;01/10/2000;Férias
6147;30/08/1999;19/09/1999;Férias
6170;25/06/1999;;Demissão
6172;01/03/2000;;Demissão
6172;27/12/1999;28/01/2000;Férias
6172;03/05/1999;23/05/1999;Férias
6175;01/10/2008;;Demissão
6175;03/03/2008;02/04/2008;Férias
6175;22/01/2007;21/02/2007;Férias
6175;23/01/2006;22/02/2006;Férias
6175;17/01/2005;16/02/2005;Férias
6175;02/02/2004;03/03/2004;Férias
6175;16/06/2003;05/07/2003;Férias
6175;23/12/2002;06/01/2003;Férias
6175;04/11/2002;09/11/2002;Férias
6175;17/12/2001;14/01/2002;Férias
6175;05/03/2001;04/04/2001;Férias
6175;05/07/1999;25/07/1999;Férias
6234;11/09/2019;26/09/2019;Atestado Médico
6234;05/11/2018;05/12/2018;Férias
6234;26/12/2017;25/01/2018;Férias
6234;12/12/2016;01/01/2017;Férias
6234;01/09/2016;11/09/2016;Férias
6234;21/12/2015;10/01/2016;Férias
6234;05/01/2015;25/01/2015;Férias
6234;02/01/2014;22/01/2014;Férias
6234;07/01/2013;27/01/2013;Férias
6234;19/12/2011;08/01/2012;Férias
6234;10/01/2011;30/01/2011;Férias
6234;11/01/2010;04/02/2010;Férias
6234;17/11/2008;07/12/2008;Férias
6234;17/12/2007;06/01/2008;Férias
6234;20/11/2006;20/12/2006;Férias
6234;07/11/2005;27/11/2005;Férias
6234;14/12/2004;07/01/2005;Férias
6234;09/12/2002;12/01/2003;Férias
6234;26/12/2001;26/01/2002;Férias
6234;22/01/2001;11/02/2001;Férias
6234;10/01/2000;09/02/2000;Férias
6234;24/08/1998;23/09/1998;Férias
6234;22/12/1997;24/01/1998;Férias
6234;16/12/1996;26/01/1997;Férias
6271;01/12/2000;;Demissão
6271;23/06/2000;05/07/2000;Férias
6271;02/10/1999;31/01/2000;Auxilio Doença
6271;14/08/1999;17/08/1999;Auxilio Doença
6271;21/12/1998;11/01/1999;Férias
6271;24/08/1998;05/09/1998;Férias
6271;22/12/1997;12/01/1998;Férias
6271;25/08/1997;24/09/1997;Férias
6271;11/11/1996;11/12/1996;Férias
6462;04/02/2000;;Demissão
6462;02/03/1998;15/03/1998;Férias
6462;23/12/1997;12/01/1998;Férias
6462;13/01/1997;14/02/1997;Férias
6653;10/03/2000;;Demissão
6653;27/12/1999;12/01/2000;Férias
6653;15/03/1999;04/04/1999;Férias
6655;05/09/2007;;Demissão
6655;22/01/1998;16/07/2007;Seguro Acidente de Trabalho
6776;09/02/2012;;Demissão
6776;03/01/2012;23/01/2012;Férias
6776;09/05/2011;29/05/2011;Férias
6776;19/04/2010;09/05/2010;Férias
6776;22/12/2009;01/01/2010;Férias
6776;15/12/2008;14/01/2009;Férias
6776;07/04/2008;27/04/2008;Férias
6776;09/04/2007;29/04/2007;Férias
6776;13/03/2006;02/04/2006;Férias
6776;28/02/2005;11/03/2005;Férias
6776;03/01/2005;17/01/2005;Férias
6776;19/04/2004;19/05/2004;Férias
6776;03/02/2003;05/03/2003;Férias
6776;22/04/2002;11/05/2002;Férias
6776;26/12/2001;07/01/2002;Férias
6776;18/12/2000;19/01/2001;Férias
6776;14/02/2000;21/02/2000;Férias
6776;20/12/1999;15/01/2000;Férias
6776;22/03/1999;11/04/1999;Férias
6776;02/02/1998;22/02/1998;Férias
6776;22/12/1997;04/01/1998;Férias
6776;14/04/1997;15/05/1997;Férias
6776;04/02/1997;05/02/1997;Seguro Acidente de Trabalho
6778;26/01/1999;;Demissão
6987;30/09/2015;;Demissão
6987;01/09/2014;16/09/2014;Férias
6987;11/08/2014;26/08/2014;Férias
6987;02/09/2013;22/09/2013;Férias
6987;15/07/2013;04/08/2013;Férias
6987;20/02/2012;11/03/2012;Férias
6987;04/07/2011;24/07/2011;Férias
6987;21/12/2009;20/01/2010;Férias
6987;15/12/2008;14/01/2009;Férias
6987;14/01/2008;03/02/2008;Férias
6987;18/06/2007;08/07/2007;Férias
6987;10/07/2006;30/07/2006;Férias
6987;11/07/2005;31/07/2005;Férias
6987;29/03/2004;18/04/2004;Férias
6987;10/03/2003;30/03/2003;Férias
6987;08/04/2002;08/05/2002;Férias
6987;16/07/2001;06/08/2001;Férias
6987;03/07/2000;23/07/2000;Férias
6987;02/11/1998;22/11/1998;Férias
6987;06/10/1997;26/10/1997;Férias
6987;01/10/1996;21/10/1996;Férias
7033;30/09/2015;;Demissão
7033;17/08/2015;27/08/2015;Férias
7033;06/10/2014;16/10/2014;Férias
7033;18/08/2014;28/08/2014;Férias
7033;09/06/2014;19/06/2014;Férias
7033;15/07/2013;28/07/2013;Férias
7033;04/02/2013;14/02/2013;Férias
7033;10/09/2012;30/09/2012;Férias
7033;05/09/2011;25/09/2011;Férias
7033;06/09/2010;26/09/2010;Férias
7033;06/07/2009;26/07/2009;Férias
7033;07/07/2008;27/07/2008;Férias
7033;10/09/2007;30/09/2007;Férias
7033;10/07/2006;30/07/2006;Férias
7033;11/07/2005;31/07/2005;Férias
7033;26/07/2004;15/08/2004;Férias
7033;06/10/2003;26/10/2003;Férias
7033;23/09/2002;13/10/2002;Férias
7033;03/09/2001;23/09/2001;Férias
7033;11/09/2000;01/10/2000;Férias
7033;20/09/1999;10/10/1999;Férias
7033;21/09/1998;11/10/1998;Férias
7033;12/12/1996;01/01/1997;Férias
7404;06/09/2010;;Demissão
7404;30/11/2009;20/12/2009;Férias
7404;08/12/2008;28/12/2008;Férias
7404;03/12/2007;23/12/2007;Férias
7404;27/12/2006;16/01/2007;Férias
7404;07/02/2005;27/02/2005;Férias
7517;29/03/1999;;Demissão
7560;24/03/2000;;Demissão
7560;27/12/1999;12/01/2000;Férias
7560;01/02/1999;05/03/1999;Férias
7891;20/12/2018;31/12/2018;Férias
7891;05/11/2018;05/12/2018;Férias
7891;14/02/2018;24/02/2018;Férias
7891;11/12/2017;31/12/2017;Férias
7891;01/03/2017;11/03/2017;Férias
7891;19/12/2016;08/01/2017;Férias
7891;14/12/2015;13/01/2016;Férias
7891;09/02/2015;19/02/2015;Férias
7891;22/12/2014;11/01/2015;Férias
7891;16/12/2013;15/01/2014;Férias
7891;03/12/2012;23/12/2012;Férias
7891;30/01/2012;19/02/2012;Férias
7891;06/12/2010;05/01/2011;Férias
7891;03/11/2009;03/12/2009;Férias
7891;02/02/2009;04/03/2009;Férias
7891;14/01/2008;03/02/2008;Férias
7891;05/02/2007;07/03/2007;Férias
7891;12/12/2005;11/01/2006;Férias
7891;03/01/2005;02/02/2005;Férias
7891;29/12/2003;19/01/2004;Férias
7891;02/12/2002;04/01/2003;Férias
7891;13/08/2001;02/09/2001;Férias
7891;03/07/2000;02/08/2000;Férias
